FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 61, CHIP = 1, Vref_integ = 0
FEB = 61, CHIP = 2, Vref_integ = 0
FEB = 69, CHIP = 1, Vref_integ = 0
FEB = 69, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 54, CHIP = 1, Vref_integ = 0
FEB = 54, CHIP = 2, Vref_integ = 0
FEB = 54, CHIP = 1, Vref_integ = 0
FEB = 54, CHIP = 2, Vref_integ = 0
FEB = 54, CHIP = 1, Vref_integ = 0
FEB = 54, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 65, CHIP = 1, Vref_integ = 0
FEB = 65, CHIP = 2, Vref_integ = 0
FEB = 54, CHIP = 1, Vref_integ = 0
FEB = 54, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 71, CHIP = 1, Vref_integ = 0
FEB = 71, CHIP = 2, Vref_integ = 0
FEB = 61, CHIP = 1, Vref_integ = 0
FEB = 61, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 54, CHIP = 1, Vref_integ = 0
FEB = 54, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 65, CHIP = 1, Vref_integ = 0
FEB = 65, CHIP = 2, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 67, CHIP = 1, Vref_integ = 0
FEB = 67, CHIP = 2, Vref_integ = 0
FEB = 69, CHIP = 1, Vref_integ = 0
FEB = 69, CHIP = 2, Vref_integ = 0
FEB = 70, CHIP = 1, Vref_integ = 0
FEB = 70, CHIP = 2, Vref_integ = 0
FEB = 71, CHIP = 1, Vref_integ = 0
FEB = 71, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 66, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 66, CHIP = 1, Vref_integ = 0
FEB = 66, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 71, CHIP = 1, Vref_integ = 0
FEB = 71, CHIP = 2, Vref_integ = 0
FEB = 71, CHIP = 1, Vref_integ = 0
FEB = 71, CHIP = 2, Vref_integ = 0
FEB = 73, CHIP = 1, Vref_integ = 0
FEB = 73, CHIP = 2, Vref_integ = 0
FEB = 76, CHIP = 1, Vref_integ = 0
FEB = 76, CHIP = 2, Vref_integ = 0
FEB = 74, CHIP = 1, Vref_integ = 0
FEB = 74, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 75, CHIP = 1, Vref_integ = 0
FEB = 75, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 51, CHIP = 1, Vref_integ = 0
FEB = 51, CHIP = 2, Vref_integ = 0
FEB = 51, CHIP = 1, Vref_integ = 0
FEB = 51, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 51, CHIP = 1, Vref_integ = 0
FEB = 51, CHIP = 2, Vref_integ = 0
FEB = 75, CHIP = 1, Vref_integ = 0
FEB = 75, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 73, CHIP = 1, Vref_integ = 0
FEB = 73, CHIP = 2, Vref_integ = 0
FEB = 74, CHIP = 1, Vref_integ = 0
FEB = 74, CHIP = 2, Vref_integ = 0
FEB = 76, CHIP = 1, Vref_integ = 0
FEB = 76, CHIP = 2, Vref_integ = 0
FEB = 79, CHIP = 1, Vref_integ = 0
FEB = 79, CHIP = 2, Vref_integ = 0
FEB = 78, CHIP = 1, Vref_integ = 0
FEB = 78, CHIP = 2, Vref_integ = 0
FEB = 78, CHIP = 1, Vref_integ = 0
FEB = 78, CHIP = 2, Vref_integ = 0
FEB = 78, CHIP = 1, Vref_integ = 0
FEB = 78, CHIP = 2, Vref_integ = 0
FEB = 51, CHIP = 1, Vref_integ = 0
FEB = 51, CHIP = 2, Vref_integ = 0
FEB = 51, CHIP = 1, Vref_integ = 0
FEB = 51, CHIP = 2, Vref_integ = 0
FEB = 77, CHIP = 1, Vref_integ = 5
FEB = 77, CHIP = 2, Vref_integ = 0
FEB = 78, CHIP = 1, Vref_integ = 0
FEB = 78, CHIP = 2, Vref_integ = 0
FEB = 79, CHIP = 1, Vref_integ = 0
FEB = 79, CHIP = 2, Vref_integ = 0
FEB = 73, CHIP = 1, Vref_integ = 0
FEB = 73, CHIP = 2, Vref_integ = 0
FEB = 74, CHIP = 1, Vref_integ = 0
FEB = 74, CHIP = 2, Vref_integ = 0
FEB = 76, CHIP = 1, Vref_integ = 0
FEB = 76, CHIP = 2, Vref_integ = 0
FEB = 78, CHIP = 1, Vref_integ = 0
FEB = 78, CHIP = 2, Vref_integ = 0
FEB = 78, CHIP = 1, Vref_integ = 0
FEB = 78, CHIP = 2, Vref_integ = 0
